cluster_idx	scan	mz	RTINSECONDS	index in file	source filename
4	12170	300.203	5288.48	12170	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
4	12554	300.203	5372.99	12554	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
4	12744	300.203	5413.38	12744	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
16	4609	300.708	3191.05	4609	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
16	4903	300.707	3296.08	4903	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
19	5483	301.211	3481.54	5483	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
19	6099	301.211	3674.3	6099	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
19	6299	301.21	3714.89	6299	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
25	7671	301.2	4111.7	7671	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
25	10121	301.2	4792.92	10121	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
25	11463	301.2	5111.15	11463	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
25	13626	301.199	5604.11	13626	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
25	13783	301.199	5644.68	13783	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
27	8490	301.144	4316.21	8490	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
27	11368	301.176	5084.58	11368	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
27	16294	301.475	6275.93	16294	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
27	16450	301.475	6316.37	16450	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
27	17435	301.475	6527.79	17435	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
29	9007	301.205	4459.98	9007	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
29	9710	300.84	4675.78	9710	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
29	9711	301.205	4675.87	9711	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
31	9478	301.174	4594.38	9478	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
31	9600	301.174	4634.8	9600	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
31	9845	300.84	4716.52	9845	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
31	9998	300.839	4757.6	9998	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
32	10471	301.205	4865.34	10471	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
32	10561	301.535	4887.41	10561	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
44	11883	301.795	5221.86	11883	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
44	12048	301.795	5263.9	12048	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
45	15704	302.195	6117.41	15704	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
45	15842	302.196	6157.86	15842	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
53	4488	303.478	3149.49	4488	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
53	4461	303.508	3140.6	4461	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
55	5112	303.16	3369.83	5112	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
55	6033	302.849	3652.13	6033	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
55	6263	303.152	3707.66	6263	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
55	7370	303.167	4018.62	7370	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
56	8343	302.843	4283.72	8343	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
56	8397	302.85	4294.36	8397	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
59	9646	303.492	4652.6	9646	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
59	9596	304.194	4633.85	9596	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
59	7845	305.192	4158.46	7845	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
76	4682	303.661	3211.5	4682	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
76	15627	303.661	6100.45	15627	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
79	5806	304.416	3578.62	5806	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
79	5931	304.67	3619.46	5931	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
82	6666	304.474	3821.58	6666	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
82	6676	304.845	3824.61	6676	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
84	8205	304.194	4243.92	8205	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
84	8319	303.859	4278.8	8319	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
87	10462	304.194	4863.01	10462	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
87	10517	303.84	4876.47	10517	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
89	12214	304.194	5296.98	12214	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
89	12395	304.194	5337.75	12395	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
97	3864	304.848	2947.25	3864	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
97	3980	304.848	2987.88	3980	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
97	4130	304.848	3034.63	4130	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
97	4284	304.848	3084.4	4284	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
97	4346	304.797	3102.21	4346	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
112	3195	306.163	2739.38	3195	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
112	4733	306.413	3224.4	4733	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
112	1563	306.822	2179.53	1563	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
124	11764	305.872	5190.81	11764	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
124	11909	305.872	5231.54	11909	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
125	13037	306.174	5477.56	13037	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
125	21558	306.48	7399.82	21558	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
125	21643	306.876	7417.5	21643	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
130	6940	307.171	3898.46	6940	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
130	8131	306.661	4225.39	8131	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
130	8273	306.661	4266.78	8273	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
132	8516	306.824	4324.05	8516	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
132	8664	306.824	4364.46	8664	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
134	10392	306.681	4848.78	10392	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
134	10567	306.68	4889.45	10567	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
134	10743	306.681	4930.79	10743	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
134	13447	306.68	5565.48	13447	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
134	13635	306.68	5605.82	13635	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
138	2440	308.18	2482.71	2440	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
138	2563	308.18	2523.29	2563	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
138	2658	308.18	2563.72	2658	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
140	3839	307.716	2938.84	3839	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
140	4854	307.716	3271.93	4854	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
141	4048	307.703	3011.5	4048	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
141	4370	307.702	3111.65	4370	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
145	7256	308.207	3987.23	7256	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
145	7395	308.207	4027.61	7395	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
145	9085	308.206	4477.33	9085	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
145	9115	307.715	4484.07	9115	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
146	7659	307.512	4107.88	7659	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
146	7706	307.523	4120.61	7706	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
148	8894	307.716	4428.83	8894	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
148	9999	307.715	4757.99	9999	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
148	10144	307.716	4798.6	10144	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
156	1561	309.419	2179.34	1561	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
156	1675	309.419	2221.4	1675	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
164	4184	308.843	3053.3	4184	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
164	3877	309.685	2950.26	3877	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
164	4180	309.684	3051.7	4180	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
165	4823	309.174	3258.17	4823	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
165	4918	309.173	3301.42	4918	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
167	5600	309.478	3516.67	5600	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
167	14388	310.157	5812.36	14388	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
167	8724	310.692	4379.38	8724	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
167	8861	310.692	4419.73	8861	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
171	6419	309.192	3750.33	6419	../../../PXD001468/b1906_293T_proteinID_01A_QE3_122212.mgf
