cluster_idx	average mz	average RT	num spectra
4	300.203	5358.28	3
16	300.707	3243.56	2
19	301.211	3623.57	3
25	301.2	5052.91	5
27	301.349	5704.18	5
29	301.083	4603.87	3
31	301.007	4675.82	4
32	301.37	4876.38	2
44	301.795	5242.88	2
45	302.196	6137.63	2
53	303.493	3145.05	2
55	303.082	3687.06	4
56	302.847	4289.04	2
59	304.293	4481.64	3
76	303.661	4655.98	2
79	304.543	3599.04	2
82	304.66	3823.09	2
84	304.027	4261.36	2
87	304.017	4869.74	2
89	304.194	5317.37	2
97	304.838	3031.27	5
112	306.466	2714.44	3
124	305.872	5211.18	2
125	306.51	6764.96	3
130	306.831	4130.21	3
132	306.824	4344.26	2
134	306.681	5168.06	5
138	308.18	2523.24	3
140	307.716	3105.38	2
141	307.703	3061.58	2
145	308.084	4244.06	4
146	307.518	4114.24	2
148	307.716	4661.81	3
156	309.419	2200.37	2
164	309.404	3018.42	3
165	309.174	3279.79	2
167	310.255	4532.03	4
171	309.19	3785.07	3
177	308.676	4522.84	2
178	309.008	4562.93	2
179	309.168	4649.13	3
180	308.666	5203.02	2
182	309.003	5650.35	2
186	310.163	2163.59	2
191	310.137	3009.46	3
192	309.683	2912.05	2
200	309.931	4090.4	2
204	310.097	4500.04	5
205	310.355	4753.38	2
206	310.182	4858.65	3
208	310.182	5013.81	2
209	309.512	5112.57	3
210	310.174	5343.26	2
211	309.867	5567.01	2
215	311.189	3062.91	2
218	311.518	2993.77	2
226	311.958	4118.14	3
227	311.139	4660.4	2
228	310.826	4711.54	2
230	311.196	5299.03	2
231	311.179	6645.81	4
234	312.715	5926.12	26
239	311.834	3859.91	2
240	312.192	3289.6	2
242	313.156	4422.58	6
245	311.672	5226.22	2
247	311.539	5936.67	5
248	313.294	3360.67	3
249	313.284	3904.67	3
251	312.828	4346.88	2
259	314.186	3553.48	2
260	313.715	3636.98	2
264	313.977	5409.08	4
266	314.183	4874.17	2
278	314.711	2932.13	3
279	315.203	2908.86	2
281	314.71	3192.74	2
283	314.694	4100.46	2
287	314.843	4657.34	6
290	315.527	6609.05	6
291	315.203	5908.93	2
296	316.299	2155.55	2
298	315.718	2476.93	2
300	316.283	2736.13	2
307	315.957	3854.53	3
309	316.198	4174.08	3
310	316.567	3928.71	2
311	315.758	5357.59	3
313	315.78	6031.89	2
314	316.629	6212.9	2
315	316.174	6406.88	2
319	316.692	2567.21	3
320	317.479	2724.06	2
324	317.179	3546.57	4
335	317.202	4686.73	3
342	317.069	5202.37	3
343	316.524	5453.49	2
344	316.862	5530.62	2
346	317.569	5753.91	2
350	317.22	8503.74	5
357	317.687	2622.75	2
360	317.811	2901.14	2
365	318.956	4598.55	12
371	318.006	4152.56	2
372	318.73	4092.53	3
375	318.21	4425.49	2
382	317.992	5392.23	2
389	319.192	2521.79	3
394	319.253	4053.38	8
398	319.498	4030.53	2
399	318.972	5795.03	3
403	318.831	6836.56	3
405	319.163	7913.62	2
406	318.947	9836.42	4
414	319.55	3179.13	2
420	320.32	5198.36	2
421	320.195	5311.38	3
431	321.296	3107.84	2
436	320.723	4289.84	2
437	321.828	4526.31	3
440	320.519	4678.76	6
442	321.18	5066.7	2
443	320.664	5107.12	2
447	321.653	6639.14	2
448	321.184	7629.1	2
451	322.283	3762.53	9
452	322.459	2632.27	7
455	322.277	2611.63	2
458	322.778	3151.74	2
466	321.769	3725.27	2
467	321.508	4172.55	2
468	322.47	5894.22	4
469	322.182	4341.97	2
486	323.837	3958.48	2
492	323.107	4222.81	2
494	323.994	4728.57	3
501	323.015	6111.23	2
502	322.83	8025.55	2
505	324.678	1920.59	2
509	323.699	2754.65	2
510	324.431	3046.02	2
513	324.508	3383.83	3
514	324.181	3500.53	2
516	324.152	4342.75	3
521	324.296	4475.28	3
522	324.17	4624.56	4
526	324.438	5627.22	2
527	324.433	5958.13	2
528	323.534	6204.65	3
535	325.491	2459.43	2
542	324.915	4431.44	2
543	325.205	3556.38	2
544	325.047	3676.34	2
545	325.187	3994.8	2
552	325.124	5508.23	3
553	325.438	5673.13	2
555	325.195	5782.55	2
559	326.679	2622.83	2
560	326.437	2828.58	3
562	326.195	3185.05	2
568	325.853	3454.23	2
573	325.634	3980.14	2
575	326.194	4175.9	2
583	325.509	5075.14	2
587	326.693	5537.54	2
590	326.182	5839.97	2
593	326.68	5513.66	3
599	326.711	3094.81	2
601	327.448	3323.38	2
604	326.955	5761.35	2
606	327.196	4900.86	2
611	327.171	6626.45	2
613	326.536	8504.4	2
615	328.067	2904.13	2
617	327.695	1930.43	5
623	327.724	2625.79	2
631	328.804	3745.64	2
632	327.754	5021.31	5
634	327.624	4053.75	2
635	327.922	4153.52	2
640	328.853	4889.38	2
645	327.543	5413.78	2
646	328.596	5911.03	4
648	328.148	6976.28	2
649	328.108	7053.52	3
657	329.278	4069.14	2
661	329.218	2786.26	2
666	328.721	3451.35	2
677	328.547	5143.17	2
679	329.204	5690.32	2
686	331.035	9161	13
688	329.655	2986.78	3
706	330.34	4569.36	2
707	329.716	5039.64	2
710	329.535	5324.66	2
713	330.74	6020.13	6
715	329.875	6428.27	2
720	331.582	3058.79	6
721	331.136	2073.22	2
724	330.718	2682.52	2
727	330.693	3877.95	2
733	331.205	4563.58	5
734	330.695	4097.19	3
735	330.613	4233.21	2
737	330.718	4386.26	2
740	330.924	4899.96	2
743	331.278	5665.54	2
744	331.223	7872.98	3
745	331.337	7923.14	2
749	332.176	2270.56	2
751	332.194	2691.55	2
752	332.426	2807.8	2
753	332.168	2861.09	2
755	331.857	3281.68	2
756	331.857	3447.87	2
765	331.671	4675.63	2
772	332.15	5571.37	2
773	331.843	6335.17	2
774	332.023	8600.95	5
777	332.353	7305.15	2
778	332.189	7734.09	2
779	332.493	9160.61	2
783	332.613	3091.32	2
789	333.209	3285.46	2
792	332.848	3409.49	2
793	333.682	3512.91	2
797	333.203	3623.74	2
799	332.678	3853.29	2
807	332.705	5248.75	2
824	334.033	2141.92	2
828	333.718	3117.78	5
835	334.204	4741.78	4
836	334.18	5077.82	2
838	333.546	5404.29	2
843	334.205	7375.26	2
844	333.887	7760	2
845	335.107	6716.94	5
850	335.473	2495.96	2
852	335.304	2640.26	2
858	335.172	3811.37	2
862	334.93	4877.6	2
868	335.17	5817.45	2
871	335.716	2742.71	2
881	336.614	5447.5	3
882	335.874	3951.69	2
883	336.226	4063.06	3
884	336.174	4201.49	2
886	336.458	4309.99	2
889	335.958	5197.59	2
890	336.192	5275.82	2
893	336.024	5460.71	2
894	336.194	5832.44	2
895	336.226	5914.44	2
901	337.52	1954.47	2
905	336.715	2962.86	2
909	336.718	3712.39	2
914	337.194	4582.17	4
916	337.141	4734.23	3
917	337.313	4826.23	2
919	337.203	5030.61	2
924	337.035	5592.55	3
925	337.205	5686.75	2
926	336.718	6069.18	2
933	336.723	8154.73	2
934	336.726	8284.96	2
935	337.811	8603.41	4
941	337.793	2661.49	2
942	338.182	2721.08	2
945	338.701	3032.96	4
946	338.021	3120.19	2
947	338.34	3182.5	4
948	337.86	3317.48	3
949	337.861	3474.63	3
950	337.861	3583.68	2
951	337.697	4123.47	2
953	337.97	4275.5	2
957	337.618	4630.87	2
958	338.659	4667	2
960	337.829	5035.59	2
966	337.837	6589.68	2
973	339.203	2516.18	2
978	339.185	3537.63	2
979	338.707	3628.99	2
986	339.206	4537.95	2
988	339.033	4952.23	2
989	339.297	5508.99	3
994	339.524	6077.26	2
997	339.578	6682.58	2
1001	338.862	8204.49	2
1002	339.177	8787.86	2
1006	340.354	2511.88	2
1010	340.158	4838.72	3
1027	339.866	6141.03	2
1030	340.209	8444.96	2
1031	340.202	7761.49	3
1040	341.075	2507.59	3
1041	341.152	2857.6	3
1054	340.683	4426.16	3
1059	340.949	5406.25	2
1061	341.325	5855.91	2
1064	340.534	7910.47	2
1065	340.658	9885.96	3
1085	342.415	5190.37	2
1090	342.974	7334.43	5
1095	342.057	7369.98	2
1096	341.815	8981.81	2
1103	343.221	3293.58	2
1104	343.192	2325.52	3
1109	343.661	2878.72	2
1110	343.19	3338.46	3
1113	343.233	3490.21	3
1121	342.811	4268.01	3
1123	343.509	4657.35	2
1124	342.939	4708.96	2
1126	343.457	4942.93	2
1128	342.955	5115.74	2
1130	343.333	5397.34	2
1131	343.196	5416.34	2
1138	343.234	5813.04	4
1151	344.206	2842.1	3
1154	344.194	4088.03	3
1156	344.123	3421.99	2
1161	343.726	4033.66	2
1162	343.706	4176.25	2
1163	343.705	4339.99	2
1166	344.182	4750.44	2
1167	344.221	4891.15	2
1168	343.732	5324.43	2
1171	343.628	5611.27	2
1172	344.224	5827.24	2
1174	343.717	6384.66	3
1177	344.368	6968.52	2
1188	345.17	2637.15	2
1189	345.004	3421.73	6
1196	345.363	3696.94	3
1199	346.245	4575.94	4
1201	344.534	4965.61	2
1210	346.35	2283.22	3
1222	346.569	3970.12	2
1223	345.696	4094.39	2
1226	346.466	4443.65	2
1228	346.528	4678.12	5
1229	346.461	4834.95	2
1231	346.109	5160.19	9
1233	346.211	5189.85	2
1234	346.193	5318.57	2
1240	346.421	7405.63	3
1242	346.342	8666.29	2
1243	347.175	1688.86	2
1246	346.865	4435.26	3
1248	346.535	2517.37	2
1251	346.708	3327.29	2
1253	347.191	3755.99	2
1257	346.708	4216.99	3
1262	347.04	4529.07	2
1269	346.987	5698.02	3
1273	346.554	6164.04	2
1277	346.71	9234.47	2
1278	346.91	9786.29	2
1280	346.509	10230.2	2
1283	348.52	1883.33	2
1286	347.878	1989.17	2
1287	347.853	2076.26	4
1292	347.705	3309.37	3
1294	348.049	3224.96	2
1297	348.701	3570.54	2
1304	347.545	4773.4	3
1306	348.163	5242.21	2
1311	347.528	8346.76	2
1316	349.351	2027.38	2
1324	349.187	3065.62	2
1328	348.688	3664.46	2
1333	349.194	4010.08	2
1334	349.46	4065.51	2
1335	348.833	6341.99	2
1340	349.456	5411.65	2
1344	348.997	6248.98	2
1349	349.035	7858.87	2
1356	350.095	6454.33	7
1358	350.229	2722.78	2
1362	349.542	2967.09	2
1366	350.795	3220.38	4
1376	349.766	4687.3	4
1377	349.778	4839.99	2
1388	350.414	7400.91	3
1389	349.762	7547.27	2
1391	349.703	8639.61	2
1401	350.718	2983.96	3
1404	350.87	3278.34	2
1407	350.988	4150.14	4
1409	350.734	4255.16	2
1411	350.953	4318.3	2
1414	351.195	4787.87	2
1415	350.869	4882.61	2
1417	351.194	5088.41	4
1418	351.68	5155.53	2
1420	350.734	5532.43	2
1422	351.459	5097.55	2
1423	351.231	5807.15	2
1424	351.17	5980.46	2
1426	351.729	6914.51	2
1435	352.19	2294.52	2
1440	351.866	3022.17	2
1441	351.543	3115.42	3
1444	352.14	3415.16	3
1446	351.886	3624.69	3
1452	351.819	4347.22	2
1454	351.889	4594.86	2
1457	351.846	4719.82	2
1458	351.723	5468.09	2
1459	352.193	5695.33	2
1464	351.878	7753.15	2
1472	353.132	3943.48	3
1473	353.294	2153.92	2
1480	353.456	3096.19	2
1484	352.927	3828.65	2
1492	352.945	5176.19	2
1495	353.412	5580.91	2
1498	352.557	6179.02	3
1504	352.527	8482.08	2
1505	352.518	8674.03	2
1507	354.674	5035.78	34
1512	353.845	2273.35	2
1513	354.707	4780.03	2
1515	353.694	2644.87	2
1519	353.712	2909.59	2
1520	354.198	3312.05	2
1528	353.716	4100.61	2
1530	353.653	4519.47	3
1533	353.55	4976.82	2
1534	353.71	5569.88	3
1541	353.688	6963.9	2
1542	353.734	7440.51	2
1548	355.409	3911.48	16
1551	354.689	3125.57	2
1555	355.455	4312.35	2
1556	354.691	5038.27	2
1557	355.183	5463.18	3
1558	354.861	5528.4	2
1561	354.709	7763.6	3
1564	356.507	2701.44	4
1565	356.565	5723.48	2
