cluster_idx	scan	mz	RTINSECONDS	index in file	source filename
1	1	205.211	0	1	datasets/MSV000078787_specs_ms.mgf
1	2	206.2	0	2	datasets/MSV000078787_specs_ms.mgf
3	4	222.213	0	4	datasets/MSV000078787_specs_ms.mgf
3	5	222.215	0	5	datasets/MSV000078787_specs_ms.mgf
27	29	276.078	0	29	datasets/MSV000078787_specs_ms.mgf
27	31	276.811	0	31	datasets/MSV000078787_specs_ms.mgf
33	36	283.111	0	36	datasets/MSV000078787_specs_ms.mgf
33	37	283.113	0	37	datasets/MSV000078787_specs_ms.mgf
39	43	293.12	0	43	datasets/MSV000078787_specs_ms.mgf
39	45	293.197	0	45	datasets/MSV000078787_specs_ms.mgf
41	46	295.101	0	46	datasets/MSV000078787_specs_ms.mgf
41	48	295.101	0	48	datasets/MSV000078787_specs_ms.mgf
41	49	295.125	0	49	datasets/MSV000078787_specs_ms.mgf
41	50	295.15	0	50	datasets/MSV000078787_specs_ms.mgf
43	51	300.165	0	51	datasets/MSV000078787_specs_ms.mgf
43	53	300.203	0	53	datasets/MSV000078787_specs_ms.mgf
43	54	300.744	0	54	datasets/MSV000078787_specs_ms.mgf
43	55	300.744	0	55	datasets/MSV000078787_specs_ms.mgf
43	56	301.147	0	56	datasets/MSV000078787_specs_ms.mgf
43	57	301.148	0	57	datasets/MSV000078787_specs_ms.mgf
48	61	303.099	0	61	datasets/MSV000078787_specs_ms.mgf
48	63	304.085	0	63	datasets/MSV000078787_specs_ms.mgf
50	64	304.156	0	64	datasets/MSV000078787_specs_ms.mgf
50	65	304.161	0	65	datasets/MSV000078787_specs_ms.mgf
51	66	308.072	0	66	datasets/MSV000078787_specs_ms.mgf
51	67	308.188	0	67	datasets/MSV000078787_specs_ms.mgf
58	74	312.657	0	74	datasets/MSV000078787_specs_ms.mgf
58	77	313.183	0	77	datasets/MSV000078787_specs_ms.mgf
66	83	317.256	0	83	datasets/MSV000078787_specs_ms.mgf
66	86	318.181	0	86	datasets/MSV000078787_specs_ms.mgf
66	87	318.692	0	87	datasets/MSV000078787_specs_ms.mgf
70	89	319.215	0	89	datasets/MSV000078787_specs_ms.mgf
70	91	320.156	0	91	datasets/MSV000078787_specs_ms.mgf
70	93	320.192	0	93	datasets/MSV000078787_specs_ms.mgf
76	97	325.071	0	97	datasets/MSV000078787_specs_ms.mgf
76	98	325.099	0	98	datasets/MSV000078787_specs_ms.mgf
76	99	325.103	0	99	datasets/MSV000078787_specs_ms.mgf
76	100	325.165	0	100	datasets/MSV000078787_specs_ms.mgf
76	101	325.228	0	101	datasets/MSV000078787_specs_ms.mgf
78	104	326.198	0	104	datasets/MSV000078787_specs_ms.mgf
78	105	327.153	0	105	datasets/MSV000078787_specs_ms.mgf
78	107	328.148	0	107	datasets/MSV000078787_specs_ms.mgf
78	108	328.153	0	108	datasets/MSV000078787_specs_ms.mgf
83	111	330.303	0	111	datasets/MSV000078787_specs_ms.mgf
83	112	331.264	0	112	datasets/MSV000078787_specs_ms.mgf
84	113	333.148	0	113	datasets/MSV000078787_specs_ms.mgf
84	115	333.187	0	115	datasets/MSV000078787_specs_ms.mgf
90	120	337.123	0	120	datasets/MSV000078787_specs_ms.mgf
90	121	337.184	0	121	datasets/MSV000078787_specs_ms.mgf
90	122	337.605	0	122	datasets/MSV000078787_specs_ms.mgf
93	125	339.235	0	125	datasets/MSV000078787_specs_ms.mgf
93	126	339.256	0	126	datasets/MSV000078787_specs_ms.mgf
94	127	342.064	0	127	datasets/MSV000078787_specs_ms.mgf
94	128	342.208	0	128	datasets/MSV000078787_specs_ms.mgf
95	129	343.145	0	129	datasets/MSV000078787_specs_ms.mgf
95	131	343.303	0	131	datasets/MSV000078787_specs_ms.mgf
97	132	344.254	0	132	datasets/MSV000078787_specs_ms.mgf
97	133	345.163	0	133	datasets/MSV000078787_specs_ms.mgf
98	134	347.144	0	134	datasets/MSV000078787_specs_ms.mgf
98	135	347.158	0	135	datasets/MSV000078787_specs_ms.mgf
98	136	347.161	0	136	datasets/MSV000078787_specs_ms.mgf
98	137	347.196	0	137	datasets/MSV000078787_specs_ms.mgf
99	138	348.195	0	138	datasets/MSV000078787_specs_ms.mgf
99	142	349.188	0	142	datasets/MSV000078787_specs_ms.mgf
109	149	356.187	0	149	datasets/MSV000078787_specs_ms.mgf
109	150	357.117	0	150	datasets/MSV000078787_specs_ms.mgf
109	151	357.162	0	151	datasets/MSV000078787_specs_ms.mgf
111	154	357.314	0	154	datasets/MSV000078787_specs_ms.mgf
111	155	357.314	0	155	datasets/MSV000078787_specs_ms.mgf
111	156	358.313	0	156	datasets/MSV000078787_specs_ms.mgf
111	158	359.177	0	158	datasets/MSV000078787_specs_ms.mgf
111	159	359.297	0	159	datasets/MSV000078787_specs_ms.mgf
111	160	359.752	0	160	datasets/MSV000078787_specs_ms.mgf
111	161	360.072	0	161	datasets/MSV000078787_specs_ms.mgf
119	167	364.17	0	167	datasets/MSV000078787_specs_ms.mgf
119	168	364.171	0	168	datasets/MSV000078787_specs_ms.mgf
119	171	365.111	0	171	datasets/MSV000078787_specs_ms.mgf
120	169	365.259	0	169	datasets/MSV000078787_specs_ms.mgf
120	172	365.281	0	172	datasets/MSV000078787_specs_ms.mgf
126	177	367.207	0	177	datasets/MSV000078787_specs_ms.mgf
126	179	368.199	0	179	datasets/MSV000078787_specs_ms.mgf
126	180	368.727	0	180	datasets/MSV000078787_specs_ms.mgf
126	181	369.099	0	181	datasets/MSV000078787_specs_ms.mgf
126	182	369.18	0	182	datasets/MSV000078787_specs_ms.mgf
128	183	370.244	0	183	datasets/MSV000078787_specs_ms.mgf
128	184	370.252	0	184	datasets/MSV000078787_specs_ms.mgf
128	185	370.7	0	185	datasets/MSV000078787_specs_ms.mgf
128	190	371.663	0	190	datasets/MSV000078787_specs_ms.mgf
129	186	371.261	0	186	datasets/MSV000078787_specs_ms.mgf
129	189	371.329	0	189	datasets/MSV000078787_specs_ms.mgf
134	193	375.711	0	193	datasets/MSV000078787_specs_ms.mgf
134	194	375.719	0	194	datasets/MSV000078787_specs_ms.mgf
142	202	379.105	0	202	datasets/MSV000078787_specs_ms.mgf
142	203	379.124	0	203	datasets/MSV000078787_specs_ms.mgf
148	209	382.178	0	209	datasets/MSV000078787_specs_ms.mgf
148	211	383.144	0	211	datasets/MSV000078787_specs_ms.mgf
152	214	383.324	0	214	datasets/MSV000078787_specs_ms.mgf
152	218	384.275	0	218	datasets/MSV000078787_specs_ms.mgf
152	219	384.722	0	219	datasets/MSV000078787_specs_ms.mgf
160	224	386.152	0	224	datasets/MSV000078787_specs_ms.mgf
160	225	386.162	0	225	datasets/MSV000078787_specs_ms.mgf
160	227	386.319	0	227	datasets/MSV000078787_specs_ms.mgf
174	240	390.285	0	240	datasets/MSV000078787_specs_ms.mgf
174	243	391.284	0	243	datasets/MSV000078787_specs_ms.mgf
174	244	391.729	0	244	datasets/MSV000078787_specs_ms.mgf
174	245	392.168	0	245	datasets/MSV000078787_specs_ms.mgf
174	246	392.2	0	246	datasets/MSV000078787_specs_ms.mgf
178	248	392.393	0	248	datasets/MSV000078787_specs_ms.mgf
178	249	392.268	0	249	datasets/MSV000078787_specs_ms.mgf
181	252	393.24	0	252	datasets/MSV000078787_specs_ms.mgf
181	253	394.178	0	253	datasets/MSV000078787_specs_ms.mgf
181	254	394.179	0	254	datasets/MSV000078787_specs_ms.mgf
181	255	394.183	0	255	datasets/MSV000078787_specs_ms.mgf
181	257	395.03	0	257	datasets/MSV000078787_specs_ms.mgf
181	258	395.119	0	258	datasets/MSV000078787_specs_ms.mgf
184	260	396.189	0	260	datasets/MSV000078787_specs_ms.mgf
184	261	396.193	0	261	datasets/MSV000078787_specs_ms.mgf
184	263	397.159	0	263	datasets/MSV000078787_specs_ms.mgf
184	264	397.159	0	264	datasets/MSV000078787_specs_ms.mgf
184	266	397.692	0	266	datasets/MSV000078787_specs_ms.mgf
189	269	398.296	0	269	datasets/MSV000078787_specs_ms.mgf
189	270	398.7	0	270	datasets/MSV000078787_specs_ms.mgf
189	272	398.744	0	272	datasets/MSV000078787_specs_ms.mgf
189	273	398.747	0	273	datasets/MSV000078787_specs_ms.mgf
189	274	398.75	0	274	datasets/MSV000078787_specs_ms.mgf
192	276	400.168	0	276	datasets/MSV000078787_specs_ms.mgf
192	278	400.187	0	278	datasets/MSV000078787_specs_ms.mgf
192	279	400.3	0	279	datasets/MSV000078787_specs_ms.mgf
192	280	401.128	0	280	datasets/MSV000078787_specs_ms.mgf
192	281	401.135	0	281	datasets/MSV000078787_specs_ms.mgf
195	283	401.351	0	283	datasets/MSV000078787_specs_ms.mgf
195	284	401.762	0	284	datasets/MSV000078787_specs_ms.mgf
195	285	402.205	0	285	datasets/MSV000078787_specs_ms.mgf
195	287	402.284	0	287	datasets/MSV000078787_specs_ms.mgf
199	290	404.202	0	290	datasets/MSV000078787_specs_ms.mgf
199	291	405.146	0	291	datasets/MSV000078787_specs_ms.mgf
199	293	405.751	0	293	datasets/MSV000078787_specs_ms.mgf
199	294	405.752	0	294	datasets/MSV000078787_specs_ms.mgf
202	296	406.176	0	296	datasets/MSV000078787_specs_ms.mgf
202	297	406.21	0	297	datasets/MSV000078787_specs_ms.mgf
202	298	406.259	0	298	datasets/MSV000078787_specs_ms.mgf
206	303	407.51	0	303	datasets/MSV000078787_specs_ms.mgf
206	304	408.195	0	304	datasets/MSV000078787_specs_ms.mgf
214	311	411.314	0	311	datasets/MSV000078787_specs_ms.mgf
214	312	412.267	0	312	datasets/MSV000078787_specs_ms.mgf
214	314	412.754	0	314	datasets/MSV000078787_specs_ms.mgf
214	316	412.758	0	316	datasets/MSV000078787_specs_ms.mgf
215	313	412.413	0	313	datasets/MSV000078787_specs_ms.mgf
215	317	413.304	0	317	datasets/MSV000078787_specs_ms.mgf
221	322	415.751	0	322	datasets/MSV000078787_specs_ms.mgf
221	323	416.161	0	323	datasets/MSV000078787_specs_ms.mgf
229	331	418.196	0	331	datasets/MSV000078787_specs_ms.mgf
229	332	418.297	0	332	datasets/MSV000078787_specs_ms.mgf
236	339	422.201	0	339	datasets/MSV000078787_specs_ms.mgf
236	341	422.309	0	341	datasets/MSV000078787_specs_ms.mgf
236	342	422.362	0	342	datasets/MSV000078787_specs_ms.mgf
236	343	422.584	0	343	datasets/MSV000078787_specs_ms.mgf
236	344	423.103	0	344	datasets/MSV000078787_specs_ms.mgf
238	345	423.269	0	345	datasets/MSV000078787_specs_ms.mgf
238	348	424.101	0	348	datasets/MSV000078787_specs_ms.mgf
238	353	424.269	0	353	datasets/MSV000078787_specs_ms.mgf
238	354	424.269	0	354	datasets/MSV000078787_specs_ms.mgf
252	362	426.282	0	362	datasets/MSV000078787_specs_ms.mgf
252	363	426.761	0	363	datasets/MSV000078787_specs_ms.mgf
252	364	426.844	0	364	datasets/MSV000078787_specs_ms.mgf
252	365	427.2	0	365	datasets/MSV000078787_specs_ms.mgf
254	367	427.33	0	367	datasets/MSV000078787_specs_ms.mgf
